number,name,startTime,endTime,isDaytime,temperature,temperatureUnit,temperatureTrend,probabilityOfPrecipitation,dewpoint,relativeHumidity,windSpeed,windDirection,icon,shortForecast,detailedForecast
53,,2025-11-12T22:00:00-05:00,2025-11-12T23:00:00-05:00,False,45,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 62}",9 mph,W,https://api.weather.gov/icons/land/night/sct?size=small,Partly Cloudy,
54,,2025-11-12T23:00:00-05:00,2025-11-13T00:00:00-05:00,False,44,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 65}",8 mph,W,https://api.weather.gov/icons/land/night/sct?size=small,Partly Cloudy,
55,,2025-11-13T00:00:00-05:00,2025-11-13T01:00:00-05:00,False,43,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 67}",8 mph,W,https://api.weather.gov/icons/land/night/sct?size=small,Partly Cloudy,
56,,2025-11-13T01:00:00-05:00,2025-11-13T02:00:00-05:00,False,42,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 70}",8 mph,W,https://api.weather.gov/icons/land/night/sct?size=small,Partly Cloudy,
57,,2025-11-13T02:00:00-05:00,2025-11-13T03:00:00-05:00,False,41,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 73}",8 mph,W,https://api.weather.gov/icons/land/night/sct?size=small,Partly Cloudy,
58,,2025-11-13T03:00:00-05:00,2025-11-13T04:00:00-05:00,False,41,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 0}","{'unitCode': 'wmoUnit:percent', 'value': 70}",8 mph,W,https://api.weather.gov/icons/land/night/sct?size=small,Partly Cloudy,
59,,2025-11-13T04:00:00-05:00,2025-11-13T05:00:00-05:00,False,40,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 70}",9 mph,W,https://api.weather.gov/icons/land/night/sct?size=small,Partly Cloudy,
60,,2025-11-13T05:00:00-05:00,2025-11-13T06:00:00-05:00,False,39,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 73}",8 mph,W,https://api.weather.gov/icons/land/night/sct?size=small,Partly Cloudy,
61,,2025-11-13T06:00:00-05:00,2025-11-13T07:00:00-05:00,True,38,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -1.1111111111111112}","{'unitCode': 'wmoUnit:percent', 'value': 73}",8 mph,W,https://api.weather.gov/icons/land/day/sct?size=small,Mostly Sunny,
62,,2025-11-13T07:00:00-05:00,2025-11-13T08:00:00-05:00,True,38,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -1.1111111111111112}","{'unitCode': 'wmoUnit:percent', 'value': 73}",9 mph,W,https://api.weather.gov/icons/land/day/few?size=small,Sunny,
63,,2025-11-13T08:00:00-05:00,2025-11-13T09:00:00-05:00,True,40,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 70}",10 mph,W,https://api.weather.gov/icons/land/day/few?size=small,Sunny,
64,,2025-11-13T09:00:00-05:00,2025-11-13T10:00:00-05:00,True,43,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 62}",12 mph,W,https://api.weather.gov/icons/land/day/few?size=small,Sunny,
65,,2025-11-13T10:00:00-05:00,2025-11-13T11:00:00-05:00,True,47,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 0}","{'unitCode': 'wmoUnit:percent', 'value': 56}",14 mph,W,https://api.weather.gov/icons/land/day/few?size=small,Sunny,
66,,2025-11-13T11:00:00-05:00,2025-11-13T12:00:00-05:00,True,49,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 0}","{'unitCode': 'wmoUnit:percent', 'value': 52}",14 mph,W,https://api.weather.gov/icons/land/day/few?size=small,Sunny,
67,,2025-11-13T12:00:00-05:00,2025-11-13T13:00:00-05:00,True,51,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 0}","{'unitCode': 'wmoUnit:percent', 'value': 48}",15 mph,W,https://api.weather.gov/icons/land/day/few?size=small,Sunny,
